step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.107078,,,,,,,,
200,0.9,0.001855,,,,,,,,
300,1.3,0.001473,,,,,,,,
400,1.6,0.001400,,,,,,,,
500,2.0,0.000724,,,,,,,,
600,2.3,0.000123,,,,,,,,
700,2.7,0.000198,,,,,,,,
800,3.0,0.000102,,,,,,,,
900,3.4,0.000071,,,,,,,,
1000,3.8,0.000181,,,,,,,,
1100,4.1,0.000077,,,,,,,,
1200,4.5,0.000042,,,,,,,,
1300,4.8,0.000062,,,,,,,,
1400,5.2,0.000117,,,,,,,,
1500,5.5,0.000293,,,,,,,,
1600,5.9,0.000203,,,,,,,,
1700,6.3,0.000064,,,,,,,,
1800,6.6,0.000037,,,,,,,,
1900,7.0,0.000084,,,,,,,,
2000,7.3,0.000055,,,,,,,,
2100,7.8,0.000041,,,,,,,,
2200,8.0,0.000020,,,,,,,,
2300,8.4,0.000016,,,,,,,,
2400,8.8,0.000079,,,,,,,,
2500,9.1,0.000028,,,,,,,,
2600,9.5,0.000020,,,,,,,,
2700,9.8,0.000121,,,,,,,,
2800,10.3,0.000045,,,,,,,,
2900,10.6,0.000035,,,,,,,,
3000,10.9,0.000044,,,,,,,,
3100,11.3,0.000007,,,,,,,,
3200,11.6,0.000038,,,,,,,,
3300,12.1,0.000031,,,,,,,,
3400,12.4,0.000014,,,,,,,,
3500,12.8,0.000015,,,,,,,,
3600,13.1,0.000040,,,,,,,,
3700,13.5,0.000034,,,,,,,,
3800,13.8,0.000008,,,,,,,,
3900,14.2,0.000016,,,,,,,,
4000,14.6,0.000007,,,,,,,,
4100,14.9,0.000030,,,,,,,,
4200,15.3,0.000124,,,,,,,,
4300,15.6,0.000026,,,,,,,,
4400,16.1,0.000046,,,,,,,,
4500,16.3,0.000020,,,,,,,,
4600,16.7,0.000007,,,,,,,,
4700,17.1,0.000026,,,,,,,,
4800,17.4,0.000013,,,,,,,,
4900,17.8,0.000006,,,,,,,,
5000,19.7,0.000009,0.000012,3.525604e-01,1.462335e-02,1.054972e-02,0.000000,3.192875e-01,1.452407e-02,1.085438e-02
5100,20.0,0.000036,,,,,,,,
5200,20.3,0.000089,,,,,,,,
5300,20.7,0.000017,,,,,,,,
5400,21.1,0.000009,,,,,,,,
5500,21.4,0.000016,,,,,,,,
5600,21.9,0.000027,,,,,,,,
5700,22.2,0.000004,,,,,,,,
5800,22.6,0.000017,,,,,,,,
5900,22.9,0.000012,,,,,,,,
6000,23.3,0.000026,,,,,,,,
6100,23.6,0.000049,,,,,,,,
6200,24.0,0.000006,,,,,,,,
6300,24.4,0.000009,,,,,,,,
6400,24.7,0.000020,,,,,,,,
6500,25.3,0.000008,,,,,,,,
6600,25.6,0.000028,,,,,,,,
6700,26.0,0.000010,,,,,,,,
6800,26.4,0.000008,,,,,,,,
6900,26.7,0.000008,,,,,,,,
7000,27.1,0.000009,,,,,,,,
7100,27.4,0.000005,,,,,,,,
7200,27.8,0.000016,,,,,,,,
7300,28.1,0.000005,,,,,,,,
7400,28.5,0.000039,,,,,,,,
7500,28.9,0.000027,,,,,,,,
7600,29.2,0.000025,,,,,,,,
7700,29.7,0.000004,,,,,,,,
7800,30.0,0.000009,,,,,,,,
7900,30.3,0.000005,,,,,,,,
8000,30.7,0.000033,,,,,,,,
8100,31.1,0.000013,,,,,,,,
8200,31.5,0.000029,,,,,,,,
8300,31.8,0.000015,,,,,,,,
8400,32.2,0.000006,,,,,,,,
8500,32.5,0.000035,,,,,,,,
8600,32.8,0.000009,,,,,,,,
8700,33.4,0.000009,,,,,,,,
8800,34.0,0.000016,,,,,,,,
8900,34.5,0.000016,,,,,,,,
9000,34.8,0.000024,,,,,,,,
9100,35.2,0.000005,,,,,,,,
9200,35.5,0.000003,,,,,,,,
9300,35.9,0.000017,,,,,,,,
9400,36.3,0.000009,,,,,,,,
9500,36.6,0.000005,,,,,,,,
9600,37.0,0.000011,,,,,,,,
9700,37.3,0.000008,,,,,,,,
9800,37.7,0.000013,,,,,,,,
9900,38.0,0.000031,,,,,,,,
10000,39.8,0.000011,0.000018,2.123598e-01,2.210354e-02,1.964635e-02,0.000000,1.469049e-01,2.237276e-02,1.997020e-02
10100,40.2,0.000003,,,,,,,,
10200,40.5,0.000011,,,,,,,,
10300,40.8,0.000003,,,,,,,,
10400,41.2,0.000018,,,,,,,,
10500,41.5,0.000010,,,,,,,,
10600,41.9,0.000003,,,,,,,,
10700,42.2,0.000008,,,,,,,,
10800,42.7,0.000006,,,,,,,,
10900,43.0,0.000005,,,,,,,,
11000,43.4,0.000012,,,,,,,,
11100,43.7,0.000006,,,,,,,,
11200,44.1,0.000002,,,,,,,,
11300,44.5,0.000006,,,,,,,,
11400,44.8,0.000009,,,,,,,,
11500,45.2,0.000007,,,,,,,,
11600,45.5,0.000004,,,,,,,,
11700,45.9,0.000017,,,,,,,,
11800,46.2,0.000004,,,,,,,,
11900,46.6,0.000010,,,,,,,,
12000,47.0,0.000010,,,,,,,,
12100,47.3,0.000007,,,,,,,,
12200,47.7,0.000019,,,,,,,,
12300,48.0,0.000007,,,,,,,,
12400,48.5,0.000005,,,,,,,,
12500,48.7,0.000041,,,,,,,,
12600,49.2,0.000008,,,,,,,,
12700,49.5,0.000002,,,,,,,,
12800,49.8,0.000006,,,,,,,,
12900,50.2,0.000009,,,,,,,,
13000,50.5,0.000005,,,,,,,,
13100,51.0,0.000002,,,,,,,,
13200,51.3,0.000002,,,,,,,,
13300,51.6,0.000010,,,,,,,,
13400,51.9,0.000003,,,,,,,,
13500,52.4,0.000005,,,,,,,,
13600,52.7,0.000006,,,,,,,,
13700,53.1,0.000015,,,,,,,,
13800,53.4,0.000002,,,,,,,,
13900,53.8,0.000006,,,,,,,,
14000,54.2,0.000002,,,,,,,,
14100,54.5,0.000011,,,,,,,,
14200,54.9,0.000010,,,,,,,,
14300,55.2,0.000004,,,,,,,,
14400,55.7,0.000006,,,,,,,,
14500,55.9,0.000006,,,,,,,,
14600,56.3,0.000005,,,,,,,,
14700,56.8,0.000003,,,,,,,,
14800,57.1,0.000006,,,,,,,,
14900,57.6,0.000003,,,,,,,,
15000,59.3,0.000005,0.000002,1.038242e-01,6.945169e-03,6.127633e-03,0.000000,9.860040e-02,6.928720e-03,6.203416e-03
15100,59.6,0.000006,,,,,,,,
15200,60.0,0.000004,,,,,,,,
15300,60.3,0.000005,,,,,,,,
15400,60.7,0.000004,,,,,,,,
15500,61.0,0.000009,,,,,,,,
15600,61.4,0.000009,,,,,,,,
15700,61.7,0.000002,,,,,,,,
15800,62.1,0.000002,,,,,,,,
15900,62.5,0.000002,,,,,,,,
16000,62.8,0.000004,,,,,,,,
16100,63.2,0.000004,,,,,,,,
16200,63.5,0.000003,,,,,,,,
16300,64.0,0.000009,,,,,,,,
16400,64.3,0.000003,,,,,,,,
16500,64.7,0.000015,,,,,,,,
16600,65.0,0.000007,,,,,,,,
16700,65.4,0.000002,,,,,,,,
16800,65.7,0.000008,,,,,,,,
16900,66.1,0.000009,,,,,,,,
17000,66.5,0.000005,,,,,,,,
17100,66.8,0.000004,,,,,,,,
17200,67.2,0.000002,,,,,,,,
17300,67.5,0.000005,,,,,,,,
17400,68.0,0.000001,,,,,,,,
17500,68.3,0.000008,,,,,,,,
17600,68.6,0.000003,,,,,,,,
17700,69.0,0.000008,,,,,,,,
17800,69.3,0.000004,,,,,,,,
17900,69.7,0.000008,,,,,,,,
18000,70.0,0.000005,,,,,,,,
18100,70.5,0.000003,,,,,,,,
18200,70.8,0.000001,,,,,,,,
18300,71.2,0.000003,,,,,,,,
18400,71.5,0.000012,,,,,,,,
18500,71.9,0.000007,,,,,,,,
18600,72.2,0.000006,,,,,,,,
18700,72.6,0.000002,,,,,,,,
18800,73.0,0.000004,,,,,,,,
18900,73.3,0.000002,,,,,,,,
19000,73.7,0.000006,,,,,,,,
19100,74.0,0.000005,,,,,,,,
19200,74.3,0.000005,,,,,,,,
19300,74.8,0.000017,,,,,,,,
19400,75.1,0.000014,,,,,,,,
19500,75.6,0.000002,,,,,,,,
19600,75.8,0.000002,,,,,,,,
19700,76.2,0.000002,,,,,,,,
19800,76.6,0.000004,,,,,,,,
19900,76.9,0.000003,,,,,,,,
20000,78.7,0.000004,0.000005,8.508180e-02,1.173323e-02,1.072695e-02,0.000000,8.467693e-02,1.199410e-02,1.113238e-02
20100,79.1,0.000006,,,,,,,,
20200,79.5,0.000002,,,,,,,,
20300,79.8,0.000001,,,,,,,,
20400,80.2,0.000004,,,,,,,,
20500,80.5,0.000005,,,,,,,,
20600,80.9,0.000002,,,,,,,,
20700,81.2,0.000006,,,,,,,,
20800,81.6,0.000006,,,,,,,,
20900,82.0,0.000004,,,,,,,,
21000,82.3,0.000003,,,,,,,,
21100,82.7,0.000016,,,,,,,,
21200,83.0,0.000003,,,,,,,,
21300,83.4,0.000003,,,,,,,,
21400,83.8,0.000003,,,,,,,,
21500,84.1,0.000008,,,,,,,,
21600,84.5,0.000006,,,,,,,,
21700,84.8,0.000002,,,,,,,,
21800,85.3,0.000003,,,,,,,,
21900,85.5,0.000004,,,,,,,,
22000,86.0,0.000005,,,,,,,,
22100,86.3,0.000002,,,,,,,,
22200,86.6,0.000006,,,,,,,,
22300,87.0,0.000003,,,,,,,,
22400,87.3,0.000004,,,,,,,,
22500,87.8,0.000004,,,,,,,,
22600,88.1,0.000008,,,,,,,,
22700,88.4,0.000003,,,,,,,,
22800,88.8,0.000003,,,,,,,,
22900,89.1,0.000005,,,,,,,,
23000,89.6,0.000003,,,,,,,,
23100,89.9,0.000007,,,,,,,,
23200,90.3,0.000004,,,,,,,,
23300,90.6,0.000004,,,,,,,,
23400,91.0,0.000002,,,,,,,,
23500,91.3,0.000001,,,,,,,,
23600,91.6,0.000005,,,,,,,,
23700,92.1,0.000001,,,,,,,,
23800,92.4,0.000002,,,,,,,,
23900,92.8,0.000010,,,,,,,,
24000,93.1,0.000001,,,,,,,,
24100,93.5,0.000002,,,,,,,,
24200,93.8,0.000002,,,,,,,,
24300,94.2,0.000001,,,,,,,,
24400,94.6,0.000015,,,,,,,,
24500,94.9,0.000003,,,,,,,,
24600,95.3,0.000006,,,,,,,,
24700,95.6,0.000003,,,,,,,,
24800,96.0,0.000004,,,,,,,,
24900,96.4,0.000007,,,,,,,,
25000,98.1,0.000005,0.000005,9.880753e-02,1.210479e-02,1.155263e-02,0.000000,5.858238e-02,1.253264e-02,1.227725e-02
25100,98.4,0.000002,,,,,,,,
25200,98.7,0.000002,,,,,,,,
25300,99.1,0.000001,,,,,,,,
25400,99.4,0.000006,,,,,,,,
25500,99.8,0.000001,,,,,,,,
25600,100.1,0.000001,,,,,,,,
25700,100.5,0.000003,,,,,,,,
25800,100.8,0.000003,,,,,,,,
25900,101.3,0.000002,,,,,,,,
26000,101.5,0.000001,,,,,,,,
26100,101.9,0.000001,,,,,,,,
26200,102.3,0.000002,,,,,,,,
26300,102.6,0.000002,,,,,,,,
26400,103.1,0.000003,,,,,,,,
26500,103.4,0.000001,,,,,,,,
26600,103.8,0.000001,,,,,,,,
26700,104.1,0.000001,,,,,,,,
