step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.220905,,,,,,,,
200,0.8,0.161690,,,,,,,,
300,1.2,0.114879,,,,,,,,
400,1.7,0.105419,,,,,,,,
500,2.2,0.067983,,,,,,,,
600,2.8,0.006731,,,,,,,,
700,3.3,0.002586,,,,,,,,
800,3.8,0.002211,,,,,,,,
900,4.3,0.001752,,,,,,,,
1000,4.8,0.001551,,,,,,,,
1100,5.3,0.001456,,,,,,,,
1200,5.8,0.001722,,,,,,,,
1300,6.3,0.001328,,,,,,,,
1400,6.9,0.001436,,,,,,,,
1500,7.4,0.001153,,,,,,,,
1600,7.9,0.001044,,,,,,,,
1700,8.4,0.000585,,,,,,,,
1800,8.9,0.000397,,,,,,,,
1900,9.4,0.000168,,,,,,,,
2000,9.9,0.000188,,,,,,,,
2100,10.4,0.000147,,,,,,,,
2200,10.9,0.000120,,,,,,,,
2300,11.5,0.000081,,,,,,,,
2400,11.9,0.000112,,,,,,,,
2500,12.4,0.000059,,,,,,,,
2600,13.0,0.000164,,,,,,,,
2700,13.5,0.000082,,,,,,,,
2800,13.9,0.000061,,,,,,,,
2900,14.5,0.000063,,,,,,,,
3000,15.0,0.000049,,,,,,,,
3100,15.5,0.000040,,,,,,,,
3200,16.0,0.000043,,,,,,,,
3300,16.5,0.000037,,,,,,,,
3400,17.0,0.000069,,,,,,,,
3500,17.6,0.000030,,,,,,,,
3600,18.1,0.000041,,,,,,,,
3700,18.6,0.000039,,,,,,,,
3800,19.1,0.000063,,,,,,,,
3900,19.6,0.000076,,,,,,,,
4000,20.1,0.000041,,,,,,,,
4100,20.6,0.000022,,,,,,,,
4200,21.1,0.000019,,,,,,,,
4300,21.7,0.000037,,,,,,,,
4400,22.2,0.000029,,,,,,,,
4500,22.7,0.000020,,,,,,,,
4600,23.3,0.000025,,,,,,,,
4700,23.8,0.000023,,,,,,,,
4800,24.3,0.000026,,,,,,,,
4900,24.8,0.000018,,,,,,,,
5000,26.6,0.000022,0.000023,2.874792e-01,2.223699e-02,1.702279e-02,0.000000,1.813391e-01,2.136738e-02,1.685996e-02
5100,26.9,0.000033,,,,,,,,
5200,27.2,0.000028,,,,,,,,
5300,27.6,0.000032,,,,,,,,
5400,28.1,0.000065,,,,,,,,
5500,28.6,0.000020,,,,,,,,
5600,29.1,0.000018,,,,,,,,
5700,29.7,0.000026,,,,,,,,
5800,30.2,0.000014,,,,,,,,
5900,30.7,0.000042,,,,,,,,
6000,31.2,0.000011,,,,,,,,
6100,31.8,0.000030,,,,,,,,
6200,32.3,0.000017,,,,,,,,
6300,32.8,0.000019,,,,,,,,
6400,33.3,0.000041,,,,,,,,
6500,33.8,0.000020,,,,,,,,
6600,34.3,0.000018,,,,,,,,
6700,34.8,0.000032,,,,,,,,
6800,35.4,0.000015,,,,,,,,
6900,35.9,0.000012,,,,,,,,
7000,36.4,0.000024,,,,,,,,
7100,36.9,0.000016,,,,,,,,
7200,37.5,0.000049,,,,,,,,
7300,38.0,0.000019,,,,,,,,
7400,38.5,0.000013,,,,,,,,
7500,39.0,0.000028,,,,,,,,
7600,39.5,0.000010,,,,,,,,
7700,40.0,0.000031,,,,,,,,
7800,40.5,0.000017,,,,,,,,
7900,41.0,0.000018,,,,,,,,
8000,41.5,0.000025,,,,,,,,
8100,42.1,0.000017,,,,,,,,
8200,42.6,0.000025,,,,,,,,
8300,43.1,0.000008,,,,,,,,
8400,43.6,0.000009,,,,,,,,
8500,44.1,0.000015,,,,,,,,
8600,44.6,0.000018,,,,,,,,
8700,45.1,0.000034,,,,,,,,
8800,45.7,0.000031,,,,,,,,
8900,46.2,0.000009,,,,,,,,
9000,46.7,0.000008,,,,,,,,
9100,47.2,0.000009,,,,,,,,
9200,47.8,0.000015,,,,,,,,
9300,48.3,0.000013,,,,,,,,
9400,48.8,0.000017,,,,,,,,
9500,49.3,0.000008,,,,,,,,
9600,49.8,0.000018,,,,,,,,
9700,50.4,0.000008,,,,,,,,
9800,50.8,0.000010,,,,,,,,
9900,51.4,0.000010,,,,,,,,
10000,53.0,0.000030,0.000016,3.063652e-01,1.784677e-02,1.345233e-02,0.000000,2.639413e-01,1.747420e-02,1.335611e-02
10100,53.3,0.000009,,,,,,,,
10200,53.6,0.000009,,,,,,,,
10300,54.0,0.000009,,,,,,,,
10400,54.5,0.000051,,,,,,,,
10500,55.0,0.000014,,,,,,,,
10600,55.5,0.000007,,,,,,,,
10700,56.0,0.000028,,,,,,,,
10800,56.6,0.000054,,,,,,,,
10900,57.1,0.000012,,,,,,,,
11000,57.6,0.000018,,,,,,,,
11100,58.1,0.000022,,,,,,,,
11200,58.6,0.000046,,,,,,,,
11300,59.1,0.000013,,,,,,,,
11400,59.6,0.000020,,,,,,,,
11500,60.2,0.000006,,,,,,,,
11600,60.7,0.000008,,,,,,,,
11700,61.2,0.000012,,,,,,,,
11800,61.7,0.000019,,,,,,,,
11900,62.2,0.000012,,,,,,,,
12000,62.7,0.000007,,,,,,,,
12100,63.2,0.000011,,,,,,,,
12200,63.8,0.000007,,,,,,,,
12300,64.3,0.000022,,,,,,,,
12400,64.8,0.000007,,,,,,,,
