step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.108548,,,,,,,,
200,0.7,0.001891,,,,,,,,
300,0.9,0.001263,,,,,,,,
400,1.1,0.000291,,,,,,,,
500,1.3,0.000180,,,,,,,,
600,1.5,0.000063,,,,,,,,
700,1.8,0.000248,,,,,,,,
800,2.0,0.000146,,,,,,,,
900,2.2,0.000241,,,,,,,,
1000,2.4,0.000293,,,,,,,,
1100,2.6,0.000073,,,,,,,,
1200,2.9,0.000156,,,,,,,,
1300,3.1,0.000052,,,,,,,,
1400,3.3,0.000026,,,,,,,,
1500,3.5,0.000083,,,,,,,,
1600,3.7,0.000027,,,,,,,,
1700,3.9,0.000148,,,,,,,,
1800,4.2,0.000029,,,,,,,,
1900,4.4,0.000042,,,,,,,,
2000,4.6,0.000065,,,,,,,,
2100,4.8,0.000041,,,,,,,,
2200,5.0,0.000016,,,,,,,,
2300,5.2,0.000012,,,,,,,,
2400,5.4,0.000034,,,,,,,,
2500,5.7,0.000018,,,,,,,,
2600,5.9,0.000018,,,,,,,,
2700,6.1,0.000017,,,,,,,,
2800,6.3,0.000017,,,,,,,,
2900,6.5,0.000037,,,,,,,,
3000,6.8,0.000033,,,,,,,,
3100,7.0,0.000027,,,,,,,,
3200,7.2,0.000019,,,,,,,,
3300,7.4,0.000060,,,,,,,,
3400,7.6,0.000018,,,,,,,,
3500,7.8,0.000019,,,,,,,,
3600,8.1,0.000012,,,,,,,,
3700,8.3,0.000035,,,,,,,,
3800,8.5,0.000008,,,,,,,,
3900,8.7,0.000007,,,,,,,,
4000,8.9,0.000011,,,,,,,,
4100,9.1,0.000030,,,,,,,,
4200,9.4,0.000071,,,,,,,,
4300,9.6,0.000009,,,,,,,,
4400,9.8,0.000031,,,,,,,,
4500,10.0,0.000007,,,,,,,,
4600,10.2,0.000007,,,,,,,,
4700,10.5,0.000036,,,,,,,,
4800,10.7,0.000010,,,,,,,,
4900,10.9,0.000012,,,,,,,,
5000,12.5,0.000011,0.000015,2.502702e-01,1.781640e-02,1.397620e-02,0.000000,1.345558e-01,1.733767e-02,1.390298e-02
5100,12.7,0.000017,,,,,,,,
5200,12.9,0.000007,,,,,,,,
5300,13.1,0.000011,,,,,,,,
5400,13.3,0.000012,,,,,,,,
5500,13.5,0.000025,,,,,,,,
5600,13.7,0.000009,,,,,,,,
5700,14.0,0.000010,,,,,,,,
5800,14.2,0.000045,,,,,,,,
5900,14.4,0.000018,,,,,,,,
6000,14.6,0.000037,,,,,,,,
6100,14.9,0.000044,,,,,,,,
6200,15.1,0.000004,,,,,,,,
6300,15.3,0.000008,,,,,,,,
6400,15.5,0.000014,,,,,,,,
6500,15.7,0.000021,,,,,,,,
6600,15.9,0.000007,,,,,,,,
6700,16.2,0.000029,,,,,,,,
6800,16.4,0.000012,,,,,,,,
6900,16.6,0.000007,,,,,,,,
7000,16.8,0.000037,,,,,,,,
7100,17.1,0.000006,,,,,,,,
7200,17.3,0.000023,,,,,,,,
7300,17.5,0.000005,,,,,,,,
7400,17.7,0.000014,,,,,,,,
7500,17.9,0.000025,,,,,,,,
7600,18.1,0.000003,,,,,,,,
7700,18.3,0.000015,,,,,,,,
7800,18.6,0.000003,,,,,,,,
7900,18.8,0.000017,,,,,,,,
8000,19.0,0.000006,,,,,,,,
8100,19.2,0.000003,,,,,,,,
8200,19.4,0.000012,,,,,,,,
8300,19.6,0.000007,,,,,,,,
8400,19.8,0.000006,,,,,,,,
8500,20.1,0.000031,,,,,,,,
8600,20.3,0.000018,,,,,,,,
8700,20.5,0.000005,,,,,,,,
8800,20.7,0.000006,,,,,,,,
8900,20.9,0.000016,,,,,,,,
9000,21.1,0.000010,,,,,,,,
9100,21.4,0.000003,,,,,,,,
9200,21.6,0.000002,,,,,,,,
9300,21.8,0.000008,,,,,,,,
9400,22.0,0.000019,,,,,,,,
9500,22.2,0.000003,,,,,,,,
9600,22.4,0.000010,,,,,,,,
9700,22.7,0.000006,,,,,,,,
9800,22.9,0.000003,,,,,,,,
9900,23.1,0.000008,,,,,,,,
10000,24.6,0.000005,0.000005,2.109264e-01,1.018776e-02,7.995527e-03,0.000000,1.905665e-01,1.007028e-02,8.064252e-03
10100,24.8,0.000004,,,,,,,,
10200,25.0,0.000007,,,,,,,,
10300,25.2,0.000019,,,,,,,,
10400,25.4,0.000002,,,,,,,,
10500,25.6,0.000002,,,,,,,,
10600,25.8,0.000005,,,,,,,,
10700,26.1,0.000003,,,,,,,,
10800,26.3,0.000003,,,,,,,,
10900,26.5,0.000003,,,,,,,,
11000,26.7,0.000006,,,,,,,,
11100,26.9,0.000002,,,,,,,,
