step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.113400,,,,,,,,
200,0.7,0.112289,,,,,,,,
300,0.9,0.108675,,,,,,,,
400,1.1,0.005701,,,,,,,,
500,1.3,0.002099,,,,,,,,
600,1.5,0.001089,,,,,,,,
700,1.7,0.001624,,,,,,,,
800,1.9,0.001179,,,,,,,,
900,2.1,0.001190,,,,,,,,
1000,2.2,0.000192,,,,,,,,
1100,2.4,0.000126,,,,,,,,
1200,2.6,0.000164,,,,,,,,
1300,2.8,0.000061,,,,,,,,
1400,3.0,0.000138,,,,,,,,
1500,3.2,0.000040,,,,,,,,
1600,3.4,0.000033,,,,,,,,
1700,3.6,0.000062,,,,,,,,
1800,3.8,0.000032,,,,,,,,
1900,4.0,0.000083,,,,,,,,
2000,4.2,0.000088,,,,,,,,
2100,4.4,0.000047,,,,,,,,
2200,4.6,0.000022,,,,,,,,
2300,4.8,0.000031,,,,,,,,
2400,4.9,0.000030,,,,,,,,
2500,5.1,0.000050,,,,,,,,
2600,5.3,0.000084,,,,,,,,
2700,5.5,0.000078,,,,,,,,
2800,5.7,0.000059,,,,,,,,
2900,5.9,0.000030,,,,,,,,
3000,6.1,0.000013,,,,,,,,
3100,6.3,0.000018,,,,,,,,
3200,6.5,0.000053,,,,,,,,
3300,6.7,0.000017,,,,,,,,
3400,6.9,0.000020,,,,,,,,
3500,7.1,0.000023,,,,,,,,
3600,7.2,0.000028,,,,,,,,
3700,7.4,0.000021,,,,,,,,
3800,7.6,0.000026,,,,,,,,
3900,7.8,0.000020,,,,,,,,
4000,8.0,0.000022,,,,,,,,
4100,8.2,0.000018,,,,,,,,
4200,8.4,0.000016,,,,,,,,
4300,8.6,0.000022,,,,,,,,
4400,8.8,0.000013,,,,,,,,
4500,9.0,0.000022,,,,,,,,
4600,9.2,0.000014,,,,,,,,
4700,9.4,0.000017,,,,,,,,
4800,9.6,0.000018,,,,,,,,
4900,9.7,0.000026,,,,,,,,
5000,11.2,0.000024,0.004057,2.506126e-01,2.549039e-02,2.397587e-02,0.000000,1.395121e-01,2.437692e-02,2.321681e-02
5100,11.4,0.000029,,,,,,,,
5200,11.6,0.000019,,,,,,,,
5300,11.8,0.000012,,,,,,,,
5400,12.0,0.000027,,,,,,,,
5500,12.2,0.000016,,,,,,,,
5600,12.4,0.000027,,,,,,,,
5700,12.5,0.000030,,,,,,,,
5800,12.7,0.000013,,,,,,,,
5900,12.9,0.000010,,,,,,,,
6000,13.1,0.000016,,,,,,,,
6100,13.3,0.000008,,,,,,,,
6200,13.5,0.000017,,,,,,,,
6300,13.7,0.000010,,,,,,,,
6400,13.9,0.000016,,,,,,,,
6500,14.1,0.000013,,,,,,,,
6600,14.3,0.000019,,,,,,,,
6700,14.4,0.000014,,,,,,,,
6800,14.6,0.000032,,,,,,,,
6900,14.8,0.000010,,,,,,,,
7000,15.0,0.000023,,,,,,,,
7100,15.2,0.000014,,,,,,,,
7200,15.4,0.000013,,,,,,,,
7300,15.6,0.000020,,,,,,,,
7400,15.8,0.000010,,,,,,,,
7500,16.0,0.000012,,,,,,,,
7600,16.2,0.000021,,,,,,,,
7700,16.4,0.000011,,,,,,,,
7800,16.5,0.000022,,,,,,,,
7900,16.7,0.000006,,,,,,,,
8000,16.9,0.000008,,,,,,,,
8100,17.1,0.000012,,,,,,,,
8200,17.3,0.000009,,,,,,,,
8300,17.5,0.000008,,,,,,,,
8400,17.7,0.000017,,,,,,,,
8500,17.9,0.000008,,,,,,,,
8600,18.1,0.000016,,,,,,,,
8700,18.3,0.000009,,,,,,,,
8800,18.5,0.000010,,,,,,,,
8900,18.7,0.000007,,,,,,,,
9000,18.8,0.000011,,,,,,,,
9100,19.0,0.000010,,,,,,,,
9200,19.2,0.000041,,,,,,,,
9300,19.4,0.000017,,,,,,,,
9400,19.6,0.000011,,,,,,,,
9500,19.8,0.000006,,,,,,,,
9600,20.0,0.000004,,,,,,,,
9700,20.2,0.000010,,,,,,,,
9800,20.4,0.000012,,,,,,,,
9900,20.6,0.000013,,,,,,,,
10000,21.8,0.000009,0.002347,2.173138e-01,1.474972e-02,1.220747e-02,0.000000,1.322398e-01,1.430178e-02,1.218149e-02
10100,22.0,0.000011,,,,,,,,
10200,22.2,0.000008,,,,,,,,
10300,22.4,0.000010,,,,,,,,
10400,22.6,0.000006,,,,,,,,
10500,22.8,0.000005,,,,,,,,
10600,23.0,0.000009,,,,,,,,
10700,23.2,0.000010,,,,,,,,
10800,23.4,0.000016,,,,,,,,
10900,23.5,0.000020,,,,,,,,
11000,23.7,0.000010,,,,,,,,
11100,23.9,0.000008,,,,,,,,
11200,24.1,0.000020,,,,,,,,
11300,24.3,0.000023,,,,,,,,
11400,24.5,0.000007,,,,,,,,
11500,24.7,0.000009,,,,,,,,
11600,24.9,0.000013,,,,,,,,
11700,25.1,0.000010,,,,,,,,
11800,25.2,0.000007,,,,,,,,
11900,25.4,0.000007,,,,,,,,
12000,25.6,0.000010,,,,,,,,
12100,25.8,0.000007,,,,,,,,
12200,26.0,0.000003,,,,,,,,
