step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.293686,,,,,,,,
200,0.7,0.187033,,,,,,,,
300,0.9,0.122171,,,,,,,,
400,1.1,0.105004,,,,,,,,
500,1.3,0.105380,,,,,,,,
600,1.5,0.003232,,,,,,,,
700,1.7,0.001800,,,,,,,,
800,1.9,0.001532,,,,,,,,
900,2.1,0.001404,,,,,,,,
1000,2.3,0.001222,,,,,,,,
1100,2.5,0.001247,,,,,,,,
1200,2.7,0.000781,,,,,,,,
1300,2.9,0.000604,,,,,,,,
1400,3.1,0.000424,,,,,,,,
1500,3.3,0.000277,,,,,,,,
1600,3.5,0.000315,,,,,,,,
1700,3.7,0.000215,,,,,,,,
1800,3.9,0.000229,,,,,,,,
1900,4.1,0.000185,,,,,,,,
2000,4.3,0.000111,,,,,,,,
2100,4.6,0.000126,,,,,,,,
2200,4.8,0.000206,,,,,,,,
2300,5.0,0.000060,,,,,,,,
2400,5.2,0.000187,,,,,,,,
2500,5.4,0.000093,,,,,,,,
2600,5.6,0.000074,,,,,,,,
2700,5.8,0.000042,,,,,,,,
2800,6.0,0.000067,,,,,,,,
2900,6.2,0.000025,,,,,,,,
3000,6.4,0.000051,,,,,,,,
3100,6.6,0.000046,,,,,,,,
3200,6.8,0.000109,,,,,,,,
3300,7.0,0.000130,,,,,,,,
3400,7.2,0.000031,,,,,,,,
3500,7.4,0.000053,,,,,,,,
3600,7.6,0.000025,,,,,,,,
3700,7.8,0.000066,,,,,,,,
3800,8.0,0.000029,,,,,,,,
3900,8.2,0.000062,,,,,,,,
4000,8.5,0.000043,,,,,,,,
4100,8.7,0.000037,,,,,,,,
4200,8.9,0.000037,,,,,,,,
4300,9.1,0.000019,,,,,,,,
4400,9.3,0.000032,,,,,,,,
4500,9.5,0.000034,,,,,,,,
4600,9.7,0.000021,,,,,,,,
4700,9.9,0.000034,,,,,,,,
4800,10.1,0.000025,,,,,,,,
4900,10.3,0.000026,,,,,,,,
5000,11.8,0.000047,0.004155,3.101405e-01,2.610626e-02,2.172117e-02,0.000000,3.101405e-01,2.622253e-02,2.210680e-02
5100,12.0,0.000034,,,,,,,,
5200,12.2,0.000025,,,,,,,,
5300,12.4,0.000054,,,,,,,,
5400,12.6,0.000087,,,,,,,,
5500,12.8,0.000047,,,,,,,,
5600,13.0,0.000043,,,,,,,,
5700,13.2,0.000020,,,,,,,,
5800,13.4,0.000069,,,,,,,,
5900,13.6,0.000034,,,,,,,,
6000,13.8,0.000019,,,,,,,,
6100,14.0,0.000016,,,,,,,,
6200,14.2,0.000029,,,,,,,,
6300,14.4,0.000018,,,,,,,,
6400,14.7,0.000043,,,,,,,,
6500,14.9,0.000030,,,,,,,,
6600,15.1,0.000030,,,,,,,,
6700,15.3,0.000019,,,,,,,,
6800,15.5,0.000018,,,,,,,,
6900,15.7,0.000044,,,,,,,,
7000,15.9,0.000046,,,,,,,,
7100,16.1,0.000015,,,,,,,,
7200,16.3,0.000040,,,,,,,,
7300,16.5,0.000041,,,,,,,,
7400,16.7,0.000025,,,,,,,,
7500,16.9,0.000012,,,,,,,,
7600,17.1,0.000023,,,,,,,,
7700,17.3,0.000013,,,,,,,,
7800,17.5,0.000026,,,,,,,,
7900,17.7,0.000008,,,,,,,,
8000,17.9,0.000033,,,,,,,,
8100,18.1,0.000034,,,,,,,,
8200,18.3,0.000013,,,,,,,,
8300,18.6,0.000018,,,,,,,,
8400,18.8,0.000019,,,,,,,,
8500,19.0,0.000010,,,,,,,,
8600,19.2,0.000078,,,,,,,,
8700,19.4,0.000013,,,,,,,,
8800,19.6,0.000019,,,,,,,,
8900,19.8,0.000011,,,,,,,,
9000,20.0,0.000024,,,,,,,,
9100,20.2,0.000053,,,,,,,,
9200,20.4,0.000031,,,,,,,,
9300,20.6,0.000038,,,,,,,,
9400,20.8,0.000014,,,,,,,,
9500,21.0,0.000016,,,,,,,,
9600,21.2,0.000014,,,,,,,,
9700,21.4,0.000015,,,,,,,,
9800,21.6,0.000007,,,,,,,,
9900,21.8,0.000009,,,,,,,,
10000,23.1,0.000007,0.002659,1.964015e-01,1.670706e-02,1.362485e-02,0.000000,1.467295e-01,1.601798e-02,1.312195e-02
10100,23.3,0.000031,,,,,,,,
10200,23.5,0.000007,,,,,,,,
10300,23.6,0.000007,,,,,,,,
10400,23.8,0.000017,,,,,,,,
10500,24.1,0.000025,,,,,,,,
10600,24.2,0.000013,,,,,,,,
10700,24.4,0.000032,,,,,,,,
10800,24.7,0.000051,,,,,,,,
10900,24.9,0.000014,,,,,,,,
11000,25.1,0.000028,,,,,,,,
11100,25.3,0.000023,,,,,,,,
11200,25.5,0.000027,,,,,,,,
11300,25.7,0.000020,,,,,,,,
11400,25.9,0.000007,,,,,,,,
11500,26.1,0.000009,,,,,,,,
11600,26.3,0.000008,,,,,,,,
11700,26.5,0.000024,,,,,,,,
11800,26.7,0.000023,,,,,,,,
11900,26.9,0.000030,,,,,,,,
12000,27.1,0.000007,,,,,,,,
12100,27.3,0.000008,,,,,,,,
12200,27.5,0.000027,,,,,,,,
12300,27.7,0.000014,,,,,,,,
12400,27.9,0.000018,,,,,,,,
12500,28.1,0.000018,,,,,,,,
12600,28.3,0.000023,,,,,,,,
12700,28.5,0.000012,,,,,,,,
12800,28.7,0.000005,,,,,,,,
12900,28.9,0.000022,,,,,,,,
13000,29.1,0.000040,,,,,,,,
13100,29.3,0.000005,,,,,,,,
13200,29.5,0.000011,,,,,,,,
13300,29.7,0.000021,,,,,,,,
13400,29.9,0.000011,,,,,,,,
13500,30.1,0.000008,,,,,,,,
13600,30.3,0.000011,,,,,,,,
13700,30.5,0.000007,,,,,,,,
13800,30.7,0.000012,,,,,,,,
13900,30.9,0.000022,,,,,,,,
14000,31.1,0.000006,,,,,,,,
14100,31.3,0.000006,,,,,,,,
14200,31.6,0.000009,,,,,,,,
14300,31.8,0.000012,,,,,,,,
14400,32.0,0.000019,,,,,,,,
14500,32.2,0.000038,,,,,,,,
14600,32.4,0.000033,,,,,,,,
14700,32.6,0.000018,,,,,,,,
14800,32.8,0.000006,,,,,,,,
14900,33.0,0.000016,,,,,,,,
15000,34.4,0.000018,0.002944,2.438740e-01,1.849459e-02,1.465973e-02,0.000000,2.225664e-01,1.816981e-02,1.456551e-02
15100,34.6,0.000011,,,,,,,,
15200,34.8,0.000006,,,,,,,,
15300,34.9,0.000009,,,,,,,,
15400,35.1,0.000017,,,,,,,,
15500,35.3,0.000005,,,,,,,,
15600,35.5,0.000020,,,,,,,,
15700,35.7,0.000013,,,,,,,,
15800,35.9,0.000013,,,,,,,,
15900,36.1,0.000005,,,,,,,,
16000,36.3,0.000006,,,,,,,,
16100,36.5,0.000013,,,,,,,,
16200,36.7,0.000017,,,,,,,,
16300,36.9,0.000003,,,,,,,,
16400,37.1,0.000011,,,,,,,,
16500,37.4,0.000015,,,,,,,,
16600,37.6,0.000013,,,,,,,,
16700,37.8,0.000013,,,,,,,,
16800,38.0,0.000006,,,,,,,,
16900,38.2,0.000006,,,,,,,,
17000,38.4,0.000030,,,,,,,,
17100,38.6,0.000006,,,,,,,,
17200,38.8,0.000017,,,,,,,,
17300,39.0,0.000009,,,,,,,,
17400,39.2,0.000005,,,,,,,,
17500,39.4,0.000010,,,,,,,,
17600,39.6,0.000007,,,,,,,,
17700,39.8,0.000013,,,,,,,,
17800,40.0,0.000009,,,,,,,,
17900,40.2,0.000008,,,,,,,,
18000,40.4,0.000010,,,,,,,,
18100,40.6,0.000015,,,,,,,,
18200,40.8,0.000006,,,,,,,,
18300,41.0,0.000008,,,,,,,,
18400,41.2,0.000017,,,,,,,,
18500,41.5,0.000005,,,,,,,,
18600,41.7,0.000019,,,,,,,,
18700,41.9,0.000004,,,,,,,,
18800,42.1,0.000022,,,,,,,,
18900,42.3,0.000004,,,,,,,,
19000,42.5,0.000008,,,,,,,,
19100,42.7,0.000012,,,,,,,,
19200,42.9,0.000005,,,,,,,,
19300,43.1,0.000010,,,,,,,,
19400,43.3,0.000014,,,,,,,,
19500,43.5,0.000007,,,,,,,,
19600,43.7,0.000050,,,,,,,,
19700,43.9,0.000012,,,,,,,,
19800,44.1,0.000010,,,,,,,,
19900,44.3,0.000008,,,,,,,,
20000,45.6,0.000028,0.003239,2.013441e-01,2.035173e-02,1.557443e-02,0.000000,1.507613e-01,1.926926e-02,1.476841e-02
20100,45.8,0.000006,,,,,,,,
20200,46.0,0.000015,,,,,,,,
20300,46.2,0.000005,,,,,,,,
20400,46.4,0.000012,,,,,,,,
20500,46.6,0.000004,,,,,,,,
20600,46.8,0.000007,,,,,,,,
20700,47.0,0.000028,,,,,,,,
20800,47.2,0.000005,,,,,,,,
20900,47.4,0.000009,,,,,,,,
21000,47.6,0.000004,,,,,,,,
21100,47.8,0.000004,,,,,,,,
21200,48.0,0.000008,,,,,,,,
21300,48.2,0.000011,,,,,,,,
21400,48.4,0.000012,,,,,,,,
21500,48.6,0.000013,,,,,,,,
21600,48.8,0.000005,,,,,,,,
21700,49.0,0.000009,,,,,,,,
21800,49.2,0.000010,,,,,,,,
21900,49.4,0.000014,,,,,,,,
22000,49.6,0.000005,,,,,,,,
22100,49.8,0.000012,,,,,,,,
22200,50.0,0.000004,,,,,,,,
22300,50.2,0.000008,,,,,,,,
22400,50.4,0.000014,,,,,,,,
22500,50.7,0.000003,,,,,,,,
22600,50.9,0.000011,,,,,,,,
22700,51.1,0.000005,,,,,,,,
22800,51.3,0.000009,,,,,,,,
22900,51.5,0.000003,,,,,,,,
23000,51.7,0.000020,,,,,,,,
23100,51.9,0.000005,,,,,,,,
23200,52.1,0.000010,,,,,,,,
23300,52.3,0.000007,,,,,,,,
23400,52.5,0.000004,,,,,,,,
23500,52.7,0.000036,,,,,,,,
23600,52.9,0.000007,,,,,,,,
23700,53.1,0.000008,,,,,,,,
23800,53.3,0.000006,,,,,,,,
23900,53.5,0.000007,,,,,,,,
24000,53.7,0.000014,,,,,,,,
24100,53.9,0.000014,,,,,,,,
24200,54.1,0.000024,,,,,,,,
24300,54.3,0.000009,,,,,,,,
24400,54.5,0.000006,,,,,,,,
24500,54.7,0.000005,,,,,,,,
24600,54.9,0.000008,,,,,,,,
24700,55.1,0.000003,,,,,,,,
24800,55.3,0.000015,,,,,,,,
24900,55.5,0.000017,,,,,,,,
25000,56.8,0.000008,0.001569,1.848745e-01,9.859120e-03,7.688963e-03,0.000000,1.739245e-01,9.489302e-03,7.491200e-03
25100,57.0,0.000009,,,,,,,,
25200,57.2,0.000007,,,,,,,,
25300,57.4,0.000003,,,,,,,,
25400,57.6,0.000019,,,,,,,,
25500,57.7,0.000005,,,,,,,,
25600,57.9,0.000007,,,,,,,,
25700,58.1,0.000003,,,,,,,,
25800,58.3,0.000013,,,,,,,,
25900,58.5,0.000011,,,,,,,,
26000,58.7,0.000006,,,,,,,,
26100,59.0,0.000005,,,,,,,,
26200,59.2,0.000007,,,,,,,,
26300,59.4,0.000003,,,,,,,,
26400,59.6,0.000005,,,,,,,,
26500,59.8,0.000012,,,,,,,,
26600,60.0,0.000007,,,,,,,,
26700,60.2,0.000003,,,,,,,,
26800,60.4,0.000012,,,,,,,,
26900,60.6,0.000016,,,,,,,,
27000,60.8,0.000019,,,,,,,,
27100,61.0,0.000013,,,,,,,,
27200,61.2,0.000013,,,,,,,,
27300,61.4,0.000006,,,,,,,,
27400,61.6,0.000020,,,,,,,,
27500,61.8,0.000006,,,,,,,,
27600,62.0,0.000006,,,,,,,,
27700,62.2,0.000008,,,,,,,,
27800,62.4,0.000004,,,,,,,,
27900,62.6,0.000009,,,,,,,,
28000,62.8,0.000008,,,,,,,,
28100,63.0,0.000005,,,,,,,,
28200,63.2,0.000006,,,,,,,,
28300,63.4,0.000012,,,,,,,,
28400,63.6,0.000003,,,,,,,,
28500,63.8,0.000006,,,,,,,,
28600,64.0,0.000003,,,,,,,,
28700,64.2,0.000006,,,,,,,,
28800,64.4,0.000009,,,,,,,,
28900,64.6,0.000005,,,,,,,,
29000,64.8,0.000003,,,,,,,,
29100,65.0,0.000006,,,,,,,,
29200,65.2,0.000016,,,,,,,,
29300,65.4,0.000013,,,,,,,,
29400,65.6,0.000005,,,,,,,,
29500,65.8,0.000003,,,,,,,,
29600,66.0,0.000008,,,,,,,,
29700,66.2,0.000010,,,,,,,,
29800,66.4,0.000012,,,,,,,,
29900,66.6,0.000007,,,,,,,,
30000,67.9,0.000005,0.001998,1.689371e-01,1.255448e-02,1.053776e-02,0.000000,1.145976e-01,1.197231e-02,1.034283e-02
30100,68.1,0.000004,,,,,,,,
30200,68.3,0.000003,,,,,,,,
30300,68.5,0.000003,,,,,,,,
30400,68.7,0.000003,,,,,,,,
30500,68.9,0.000004,,,,,,,,
30600,69.1,0.000006,,,,,,,,
30700,69.3,0.000008,,,,,,,,
30800,69.5,0.000007,,,,,,,,
30900,69.7,0.000011,,,,,,,,
31000,69.9,0.000006,,,,,,,,
31100,70.1,0.000004,,,,,,,,
31200,70.3,0.000008,,,,,,,,
31300,70.5,0.000004,,,,,,,,
31400,70.7,0.000005,,,,,,,,
31500,70.9,0.000004,,,,,,,,
31600,71.1,0.000004,,,,,,,,
31700,71.3,0.000010,,,,,,,,
